,acc,loss,val_acc,val_loss
0,0.8797149864682002,0.3023628726430207,0.7772943037974683,0.43990715998637525
1,0.9247505074424899,0.17749918395393757,0.7505933544303798,0.571203210308582
2,0.9475221126606967,0.12600660631276653,0.7627624639267588,0.5624308975862369
3,0.9548376184032477,0.1094223103575479,0.7443631329113924,0.7165416765816605
4,0.9668204325042267,0.08351769058360253,0.7454473081898696,0.8224829340090217
5,0.970674052774019,0.07430213580414632,0.7466376582278481,0.8105858679436431
6,0.9763849506961785,0.05905494801061996,0.747238531197134,0.874111269443044
7,0.9799137347767253,0.05209601325195923,0.7512856012658228,0.8351328080590767
8,0.9841508316052309,0.04006103388120085,0.7720171161309584,0.7483123965032772
9,0.9848401556156969,0.039595637805709495,0.775810917721519,0.748939653363409
