Class,"anormal","normal"
TPR,0.99857,0.99979
TNR,0.99979,0.99857
PPV,0.9998,0.99854
NPV,0.99854,0.9998
FNR,0.00143,0.00021
FPR,0.00021,0.00143
FDR,0.0002,0.00146
FOR,0.00146,0.0002
ACC,0.99918,0.99918
F1,0.99918,0.99917
BM,0.99836,0.99836
PRE,0.50577,0.49423
J,0.99837,0.99833
CEN,0.00881,0.00898
MCEN,0.01598,0.01628
AUC,0.99918,0.99918
