Class,"anormal","normal"
FNR,0.00143,0.00021
FPR,0.00021,0.00143
FDR,0.0002,0.00146
FOR,0.00146,0.0002
CEN,0.00881,0.00898
MCEN,0.01598,0.01628
ERR,0.00082,0.00082
