Class,"anormal","normal"
TPR,0.99857,0.99979
TNR,0.99979,0.99857
PPV,0.9998,0.99854
NPV,0.99854,0.9998
ACC,0.99918,0.99918
F1,0.99918,0.99917
BM,0.99836,0.99836
J,0.99837,0.99833
AUC,0.99918,0.99918
